bookId,Book,Author,Genres
1,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']"
2,Pride and Prejudice,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
3,The Diary of a Young Girl,Anne Frank,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']"
4,Animal Farm,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']"
5,The Little Prince,Antoine de Saint-Exupéry,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
6,1984,George Orwell,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']"
7,The Great Gatsby,F. Scott Fitzgerald,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']"
8,The Catcher in the Rye,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']"
9,The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
10,The Book Thief,Markus Zusak,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']"
11,Jane Eyre,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']"
12,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']"
13,Lord of the Flies,William Golding,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']"
14,Romeo and Juliet,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']"
15,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
16,The Kite Runner,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']"
17,"The Giver (The Giver, #1)",Lois Lowry,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
